Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Tipus_Propulsio,Nombre
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",054,Híbrid,9
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",054,Altres,6
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",054,No consta,3
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",055,CombustiÃ³ Interna-Gasolina,315
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",055,CombustiÃ³ Interna-Gasoil,134
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",055,Elèctrica,21
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",055,Híbrid,26
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",055,Altres,7
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",055,No consta,3
2023,02,Eixample,05,el Fort Pienc,001,CombustiÃ³ Interna-Gasolina,298
2023,02,Eixample,05,el Fort Pienc,001,CombustiÃ³ Interna-Gasoil,317
2023,02,Eixample,05,el Fort Pienc,001,Elèctrica,16
2023,02,Eixample,05,el Fort Pienc,001,Híbrid,95
2023,02,Eixample,05,el Fort Pienc,001,Altres,15
2023,02,Eixample,05,el Fort Pienc,001,No consta,3
2023,02,Eixample,05,el Fort Pienc,002,CombustiÃ³ Interna-Gasolina,486
2023,02,Eixample,05,el Fort Pienc,002,CombustiÃ³ Interna-Gasoil,205
2023,02,Eixample,05,el Fort Pienc,002,Elèctrica,6
2023,02,Eixample,05,el Fort Pienc,002,Híbrid,47
2023,02,Eixample,05,el Fort Pienc,002,Altres,10
2023,02,Eixample,05,el Fort Pienc,002,No consta,2
2023,02,Eixample,05,el Fort Pienc,003,CombustiÃ³ Interna-Gasolina,309
2023,02,Eixample,05,el Fort Pienc,003,CombustiÃ³ Interna-Gasoil,120
2023,02,Eixample,05,el Fort Pienc,003,Elèctrica,5
2023,02,Eixample,05,el Fort Pienc,003,Híbrid,33
2023,02,Eixample,05,el Fort Pienc,003,Altres,6
2023,02,Eixample,05,el Fort Pienc,003,No consta,1
2023,02,Eixample,05,el Fort Pienc,004,CombustiÃ³ Interna-Gasolina,391
2023,02,Eixample,05,el Fort Pienc,004,CombustiÃ³ Interna-Gasoil,171
2023,02,Eixample,05,el Fort Pienc,004,Elèctrica,6
2023,02,Eixample,05,el Fort Pienc,004,Híbrid,44
2023,02,Eixample,05,el Fort Pienc,004,Altres,7
2023,02,Eixample,05,el Fort Pienc,004,No consta,3
2023,02,Eixample,05,el Fort Pienc,005,CombustiÃ³ Interna-Gasolina,659
2023,02,Eixample,05,el Fort Pienc,005,CombustiÃ³ Interna-Gasoil,274
