Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Tipus_Propulsio,Nombre
2023,01,Ciutat Vella,03,la Barceloneta,035,Hybride,11
2023,01,Ciutat Vella,03,la Barceloneta,035,Autres,7
2023,01,Ciutat Vella,03,la Barceloneta,036,Combustion Essence,318
2023,01,Ciutat Vella,03,la Barceloneta,036,Combustion Diesel,132
2023,01,Ciutat Vella,03,la Barceloneta,036,Elèctrica,93
2023,01,Ciutat Vella,03,la Barceloneta,036,Hybride,13
2023,01,Ciutat Vella,03,la Barceloneta,036,Autres,5
2023,01,Ciutat Vella,03,la Barceloneta,037,Combustion Essence,344
2023,01,Ciutat Vella,03,la Barceloneta,037,Combustion Diesel,146
2023,01,Ciutat Vella,03,la Barceloneta,037,Elèctrica,2
2023,01,Ciutat Vella,03,la Barceloneta,037,Hybride,13
2023,01,Ciutat Vella,03,la Barceloneta,037,Autres,9
2023,01,Ciutat Vella,03,la Barceloneta,038,Combustion Essence,311
2023,01,Ciutat Vella,03,la Barceloneta,038,Combustion Diesel,128
2023,01,Ciutat Vella,03,la Barceloneta,038,Elèctrica,5
2023,01,Ciutat Vella,03,la Barceloneta,038,Hybride,20
2023,01,Ciutat Vella,03,la Barceloneta,038,Autres,10
2023,01,Ciutat Vella,03,la Barceloneta,039,Combustion Essence,347
2023,01,Ciutat Vella,03,la Barceloneta,039,Combustion Diesel,138
2023,01,Ciutat Vella,03,la Barceloneta,039,Elèctrica,4
2023,01,Ciutat Vella,03,la Barceloneta,039,Hybride,15
2023,01,Ciutat Vella,03,la Barceloneta,039,Autres,6
2023,01,Ciutat Vella,03,la Barceloneta,040,Combustion Essence,284
2023,01,Ciutat Vella,03,la Barceloneta,040,Combustion Diesel,110
2023,01,Ciutat Vella,03,la Barceloneta,040,Elèctrica,1
2023,01,Ciutat Vella,03,la Barceloneta,040,Hybride,12
2023,01,Ciutat Vella,03,la Barceloneta,040,Autres,21
2023,01,Ciutat Vella,03,la Barceloneta,041,Combustion Essence,390
2023,01,Ciutat Vella,03,la Barceloneta,041,Combustion Diesel,151
2023,01,Ciutat Vella,03,la Barceloneta,041,Elèctrica,5
2023,01,Ciutat Vella,03,la Barceloneta,041,Hybride,13
2023,01,Ciutat Vella,03,la Barceloneta,041,Autres,12
2023,01,Ciutat Vella,03,la Barceloneta,042,Combustion Essence,381
2023,01,Ciutat Vella,03,la Barceloneta,042,Combustion Diesel,202
2023,01,Ciutat Vella,03,la Barceloneta,042,Elèctrica,4
2023,01,Ciutat Vella,03,la Barceloneta,042,Hybride,21
2023,01,Ciutat Vella,03,la Barceloneta,042,Autres,14
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",043,Combustion Essence,1992
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",043,Combustion Diesel,213
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",043,Elèctrica,3739
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",043,Hybride,255
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",043,Autres,19
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",044,Combustion Essence,399
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",044,Combustion Diesel,166
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",044,Elèctrica,4
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",044,Hybride,13
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",044,Autres,4
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",045,Combustion Essence,418
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",045,Combustion Diesel,179
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",045,Elèctrica,6
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",045,Hybride,17
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",045,Autres,8
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",046,Combustion Essence,413
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",046,Combustion Diesel,176
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",046,Elèctrica,6
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",046,Hybride,17
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",046,Autres,4
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",047,Combustion Essence,356
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",047,Combustion Diesel,151
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",047,Elèctrica,5
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",047,Hybride,13
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",047,Autres,7
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",048,Combustion Essence,368
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",048,Combustion Diesel,194
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",048,Elèctrica,2
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",048,Hybride,18
